ProfileCreationDate,NoofLogin,ProfileViews,InterestSent,PlanPurchase,SalesTeamCallMade,FirstPlanPurchase,Gender,Age,City,Income,Education,Occupation,profilecreatedBy,maritalStatus,Height
2023-10-27,0,98,9,0,3,Not Purchased,Male,31,Jalpaiguri,INR 20 Lacs - 30 Lacs,MBBS,Salaried - Government/PSU,Sibling,Never Married,5.08
2023-10-27,0,3,0,0,1,Not Purchased,Male,24,Cooch Behar,Upto INR 2 Lacs,B.A,Business/Self Employed,Self,Never Married,5.07
2023-10-27,1,0,0,0,2,Not Purchased,Male,26,Barpeta,Upto INR 2 Lacs,Higher Secondary School,Salaried - Private,Self,Never Married,5.04
2023-10-27,0,24,0,0,1,Not Purchased,Female,28,West Medinipur,Not Working,M.A,Not working,Self,Never Married,5.03
2023-10-28,1,0,0,0,3,Not Purchased,Male,63,Nagaon,INR 6 Lacs - 8 Lacs,Secondary School,Business/Self Employed,Self,Awaiting Divorce,5.06
2023-10-28,1,3,0,0,1,Not Purchased,Male,41,Howrah,INR 4 Lacs - 6 Lacs,Higher Secondary School,Business/Self Employed,Self,Never Married,5.07
2023-10-28,0,1,0,0,1,Not Purchased,Male,27,Silchar,INR 4 Lacs - 6 Lacs,Ph.D.,Salaried - Private,Self,Never Married,5.03
2023-10-28,1,19,0,0,1,Not Purchased,Male,33,Dasagram,INR 2 Lacs - 4 Lacs,Diploma,Business/Self Employed,Self,Never Married,5.05
2023-10-28,0,0,0,0,1,Not Purchased,Female,35,Kolkata,Not Working,M.A,Homemaker,Self,Divorced,5.01
2023-10-28,1,4,2,0,1,Not Purchased,Male,29,Kharagpur,INR 2 Lacs - 4 Lacs,Secondary School,Salaried - Private,Self,Never Married,5.05
2023-10-28,1,53,3,0,0,Not Purchased,Female,28,Haldia,Not Working,M.Com,Student,Sibling,Never Married,5.05
2023-10-28,0,261,11,0,7,Not Purchased,Male,31,Silchar,INR 8 Lacs - 10 Lacs,BBA,Salaried - Private,Parent,Never Married,5.1
2023-10-28,0,0,0,0,1,Not Purchased,Male,40,Howrah,Upto INR 2 Lacs,Higher Secondary School,Not working,Self,Never Married,5.1
2023-10-28,0,20,0,0,2,Not Purchased,Male,32,Birati,Upto INR 2 Lacs,B.A,Salaried - Private,Parent,Never Married,5.03
2023-10-28,0,206,43,0,0,Not Purchased,Male,48,Barasat,INR 4 Lacs - 6 Lacs,B.Com (Hons.),Salaried - Private,Self,Never Married,5.03
2023-10-28,0,4,0,0,1,Not Purchased,Male,42,Medinipur,Upto INR 2 Lacs,B.A,Salaried - Private,Self,Never Married,5.03
2023-10-28,0,7,0,0,3,Not Purchased,Male,54,Madhyamgram,INR 12 Lacs - 15 Lacs,M.A,Salaried - Government/PSU,Self,Divorced,5.06
2023-10-28,1,0,0,0,2,Not Purchased,Male,42,Kalchini,Upto INR 2 Lacs,High School,Business/Self Employed,Parent,Awaiting Divorce,5.0
2023-10-28,0,150,21,0,2,Not Purchased,Female,28,Bardhaman,INR 18 Lacs - 20 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.02
2023-10-28,1,6,0,0,1,Not Purchased,Male,33,Lumding,INR 2 Lacs - 4 Lacs,Higher Secondary School,Business/Self Employed,Friend,Divorced,5.02
2023-10-28,1,11,0,0,0,Not Purchased,Male,28,Bankura,INR 2 Lacs - 4 Lacs,Higher Secondary School,Salaried - Private,Self,Never Married,5.07
2023-10-28,1,5,0,0,1,Not Purchased,Male,29,Balurghat,INR 2 Lacs - 4 Lacs,Diploma,Salaried - Private,Self,Never Married,5.04
2023-10-28,1,2,0,0,1,Not Purchased,Male,22,Barasat,Upto INR 2 Lacs,Secondary School,Salaried - Private,Self,Never Married,5.03
2023-10-28,1,4,0,0,0,Not Purchased,Male,29,Berhampore,INR 2 Lacs - 4 Lacs,B.A (Hons.),Salaried - Private,Self,Never Married,6.0
2023-10-28,0,0,0,0,3,Not Purchased,Male,28,Murshidabad,Upto INR 2 Lacs,High School,Salaried - Private,Self,Divorced,5.06
2023-10-28,0,42,5,0,1,Not Purchased,Male,37,North Lakhimpur,INR 4 Lacs - 6 Lacs,B.A,Salaried - Government/PSU,Self,Never Married,5.04
2023-10-28,1,0,0,0,0,Not Purchased,Male,28,Kamrup Metropolitan,Upto INR 2 Lacs,Higher Secondary School,Business/Self Employed,Self,Never Married,6.0
2023-10-28,0,12,0,0,3,Not Purchased,Male,30,Asansol,INR 6 Lacs - 8 Lacs,M.Sc,Salaried - Private,Parent,Never Married,5.11
2023-10-28,0,12,0,0,7,Not Purchased,Male,32,Kanchrapara,INR 8 Lacs - 10 Lacs,MBA,Salaried - Private,Parent,Never Married,5.07
2023-10-28,1,1,0,0,2,Not Purchased,Male,21,Guwahati,INR 2 Lacs - 4 Lacs,Higher Secondary School,Business/Self Employed,Self,Never Married,5.05
2023-10-28,0,0,0,0,3,Not Purchased,Male,43,Howrah,Upto INR 2 Lacs,High School,Salaried - Private,Self,Never Married,5.04
2023-10-28,2,0,0,0,1,Not Purchased,Male,34,Cachar,Upto INR 2 Lacs,Higher Secondary School,Business/Self Employed,Self,Awaiting Divorce,5.04
2023-10-28,0,32,2,0,3,Not Purchased,Male,35,Howrah,INR 20 Lacs - 30 Lacs,B.Tech,Salaried - Private,Self,Never Married,5.07
2023-10-28,0,237,41,0,2,Not Purchased,Male,30,Kharagpur,INR 4 Lacs - 6 Lacs,B.Sc (Hons.),Salaried - Government/PSU,Self,Never Married,5.0
2023-10-28,0,5,1,0,3,Not Purchased,Male,37,Howrah,INR 2 Lacs - 4 Lacs,Secondary School,Salaried - Private,Parent,Never Married,5.03
2023-10-28,0,10,0,0,1,Not Purchased,Male,27,Contai,INR 30 Lacs - 40 Lacs,B.Sc (Hons.),Salaried - Private,Self,Never Married,5.06
2023-10-28,0,117,11,0,1,Not Purchased,Male,34,Majdia,INR 2 Lacs - 4 Lacs,B.Sc (Hons.),Salaried - Government/PSU,Self,Never Married,5.09
2023-10-28,0,984,102,0,3,Not Purchased,Female,26,Durgapur,INR 2 Lacs - 4 Lacs,B.Com (Hons.),Salaried - Private,Parent,Never Married,5.0
2023-10-28,1,8,0,0,0,Not Purchased,Male,26,Kolaghat,Upto INR 2 Lacs,B.A,Salaried - Government/PSU,Self,Divorced,5.02
2023-10-28,0,0,0,0,2,Not Purchased,Female,30,Kolkata,INR 20 Lacs - 30 Lacs,MBA,Salaried - Private,Parent,Never Married,5.03
2023-10-28,1,18,4,0,3,Not Purchased,Male,26,Paschim Medinipur,Upto INR 2 Lacs,Diploma,Professional,Self,Never Married,5.11
2023-10-28,1,152,2,0,0,Not Purchased,Male,33,Purulia,INR 6 Lacs - 8 Lacs,Higher Secondary School,Salaried - Government/PSU,Self,Widow / Widower,5.07
2023-10-28,1,5,2,0,0,Not Purchased,Male,29,Bardhaman (Burdwan),Upto INR 2 Lacs,B.Sc,Salaried - Private,Self,Awaiting Divorce,5.03
2023-10-28,1,0,0,0,0,Not Purchased,Male,28,Kamrup Metropolitan,INR 4 Lacs - 6 Lacs,Higher Secondary School,Business/Self Employed,Self,Never Married,5.06
2023-10-28,1,0,0,0,1,Not Purchased,Male,31,Bankura,Upto INR 2 Lacs,B.Ed,Salaried - Private,Self,Never Married,5.09
2023-10-28,1,0,0,0,1,Not Purchased,Male,22,Narit,Upto INR 2 Lacs,B.A,Salaried - Private,Friend,Never Married,5.05
2023-10-28,1,4,0,0,0,Not Purchased,Male,31,Bansberia,INR 2 Lacs - 4 Lacs,B.Sc,Salaried - Government/PSU,Self,Never Married,5.04
2023-10-28,1,44,58,0,0,Not Purchased,Female,33,Kolkata,INR 10 Lacs - 12 Lacs,MBA,Salaried - Private,Self,Never Married,5.01
2023-10-28,1,0,0,0,1,Not Purchased,Male,30,Nadia,Upto INR 2 Lacs,Higher Secondary School,Business/Self Employed,Self,Never Married,5.11
2023-10-28,1,10,0,0,1,Not Purchased,Male,39,Asansol,Upto INR 2 Lacs,Higher Secondary School,Salaried - Private,Parent,Never Married,5.06
2023-10-28,1,0,0,0,3,Not Purchased,Male,45,Bankura,INR 2 Lacs - 4 Lacs,B.Com (Hons.),Salaried - Private,Self,Awaiting Divorce,5.08
2023-10-28,0,0,0,0,2,Not Purchased,Male,30,Bongaigaon,INR 12 Lacs - 15 Lacs,B.A,Business/Self Employed,Self,Never Married,5.06
2023-10-28,0,289,53,0,0,Not Purchased,Male,32,Simurali,INR 6 Lacs - 8 Lacs,Diploma,Salaried - Private,Self,Divorced,5.11
2023-10-28,1,31,43,0,1,Not Purchased,Female,26,Howrah,Not Working,B.A,Business/Self Employed,Parent,Never Married,5.0
2023-10-28,0,450,15,0,1,Not Purchased,Female,33,Guwahati,Upto INR 2 Lacs,MBA,Salaried - Private,Parent,Never Married,5.05
2023-10-28,1,5,0,0,0,Not Purchased,Male,28,North Lakhimpur,INR 4 Lacs - 6 Lacs,B.A,Salaried - Private,Self,Divorced,5.01
2023-10-28,0,3,0,0,1,Not Purchased,Male,33,Alipurduar,Upto INR 2 Lacs,Higher Secondary School,Salaried - Private,Self,Never Married,5.08
2023-10-28,1,0,0,0,1,Not Purchased,Male,33,Habra,Upto INR 2 Lacs,High School,Salaried - Private,Self,Never Married,5.03
2023-10-28,1,2,0,0,1,Not Purchased,Male,29,Kolkata,INR 2 Lacs - 4 Lacs,M.Sc,Salaried - Private,Self,Never Married,5.08
2023-10-28,1,2,0,0,0,Not Purchased,Male,31,Guwahati,INR 2 Lacs - 4 Lacs,M.Com,Salaried - Private,Self,Never Married,5.07
2023-10-28,1,49,1,0,1,Not Purchased,Male,32,Bankura,INR 2 Lacs - 4 Lacs,M.A,Salaried - Private,Self,Never Married,5.07
2023-10-28,0,68,2,0,0,Not Purchased,Male,30,Kolkata,INR 30 Lacs - 40 Lacs,B.Tech,Salaried - Private,Self,Never Married,5.06
2023-10-28,0,117,2,0,6,Not Purchased,Male,28,Old Malda,Upto INR 2 Lacs,M.A,Salaried - Private,Self,Never Married,5.05
2023-10-28,0,113,41,0,2,Not Purchased,Male,21,Cooch Behar,Upto INR 2 Lacs,Diploma,Professional,Self,Never Married,5.06
2023-10-28,0,44,40,0,3,Not Purchased,Female,30,Kolkata,Upto INR 2 Lacs,B.A (Hons.),Professional,Parent,Never Married,5.06
2023-10-28,0,616,157,0,1,Not Purchased,Female,28,Konnagar,INR 15 Lacs - 18 Lacs,B.Tech,Salaried - Private,Self,Divorced,5.04
2023-10-28,0,140,1,0,7,Not Purchased,Male,41,Nadia,INR 6 Lacs - 8 Lacs,Secondary School,Business/Self Employed,Parent,Never Married,5.03
2023-10-28,0,59,4,0,1,Not Purchased,Male,34,Tezpur,INR 2 Lacs - 4 Lacs,Secondary School,Business/Self Employed,Self,Divorced,5.03
2023-10-28,0,63,19,0,4,Not Purchased,Male,26,Jaintapur,INR 2 Lacs - 4 Lacs,High School,Business/Self Employed,Self,Never Married,5.04
2023-10-29,1,0,0,0,2,Not Purchased,Male,41,West Medinipur,Upto INR 2 Lacs,Higher Secondary School,Business/Self Employed,Self,Never Married,5.02
2023-10-29,1,45,0,0,0,Not Purchased,Male,31,Bardhaman,INR 2 Lacs - 4 Lacs,B.A,Salaried - Private,Self,Never Married,5.08
2023-10-29,1,19,9,0,2,Not Purchased,Male,39,Barasat,Upto INR 2 Lacs,Higher Secondary School,Salaried - Private,Self,Divorced,5.09
2023-10-29,1,0,0,0,1,Not Purchased,Male,22,Kokrajhar,Upto INR 2 Lacs,Secondary School,Salaried - Private,Self,Never Married,5.02
2023-10-29,0,218,0,0,1,Not Purchased,Male,40,Sonitpur,INR 2 Lacs - 4 Lacs,Higher Secondary School,Professional,Self,Never Married,5.01
2023-10-29,0,0,0,0,2,Not Purchased,Female,28,Kolkata,INR 4 Lacs - 6 Lacs,M.Sc,Salaried - Private,Parent,Never Married,5.02
2023-10-29,0,125,10,0,0,Not Purchased,Female,26,Jamshedpur,INR 2 Lacs - 4 Lacs,M.A,Salaried - Private,Parent,Never Married,5.09
2023-10-29,1,53,1,0,2,Not Purchased,Male,24,Udalguri,INR 4 Lacs - 6 Lacs,B.A (Hons.),Salaried - Government/PSU,Self,Never Married,5.07
2023-10-29,0,0,0,0,0,Not Purchased,Male,30,Garbeta,INR 4 Lacs - 6 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.06
2023-10-29,1,0,0,0,3,Not Purchased,Male,26,Cooch Behar,INR 2 Lacs - 4 Lacs,B.A,Business/Self Employed,Self,Never Married,5.04
2023-10-29,1,16,0,0,2,Not Purchased,Male,32,Haldia,INR 8 Lacs - 10 Lacs,B.Tech,Salaried - Government/PSU,Sibling,Never Married,5.06
2023-10-29,1,3,0,0,0,Not Purchased,Male,30,Goalpara,INR 2 Lacs - 4 Lacs,B.A,Salaried - Private,Self,Never Married,4.03
2023-10-29,0,19,0,0,0,Not Purchased,Male,35,West Tripura,INR 2 Lacs - 4 Lacs,Higher Secondary School,Salaried - Private,Friend,Never Married,5.03
2023-10-29,1,0,0,0,1,Not Purchased,Male,35,South 24 Parganas,Upto INR 2 Lacs,Secondary School,Professional,Self,Never Married,5.06
2023-10-29,1,424,1,0,0,Not Purchased,Male,33,Bongaon,INR 6 Lacs - 8 Lacs,BE,Salaried - Government/PSU,Friend,Never Married,5.05
2023-10-29,1,24,0,0,0,Not Purchased,Male,25,Garshyamnagar,INR 2 Lacs - 4 Lacs,Higher Secondary School,Business/Self Employed,Parent,Never Married,5.09
2023-10-29,0,151,1,0,2,Not Purchased,Male,33,Jhargram,INR 2 Lacs - 4 Lacs,B.A (Hons.),Salaried - Private,Parent,Never Married,5.09
2023-10-29,1,1164,506,0,1,Not Purchased,Male,42,Baruipur,INR 12 Lacs - 15 Lacs,BE,Salaried - Private,Self,Divorced,5.07
2023-10-29,1,2,0,0,4,Not Purchased,Male,31,Abhirampur,INR 2 Lacs - 4 Lacs,Secondary School,Salaried - Private,Sibling,Never Married,5.0
2023-10-29,1,8,1,0,4,Not Purchased,Male,35,Bardhaman,INR 2 Lacs - 4 Lacs,Higher Secondary School,Salaried - Private,Self,Never Married,5.06
2023-10-29,1,4,2,0,2,Not Purchased,Male,27,Bardhaman (Burdwan),INR 2 Lacs - 4 Lacs,Higher Secondary School,Salaried - Private,Self,Never Married,5.06
2023-10-29,1,0,0,0,3,Not Purchased,Male,34,Khirpai,INR 10 Lacs - 12 Lacs,Secondary School,Business/Self Employed,Self,Never Married,5.1
2023-10-29,1,18,5,0,2,Not Purchased,Male,29,Krishnanagar,INR 4 Lacs - 6 Lacs,B.A (Hons.),Salaried - Private,Self,Never Married,5.07
2023-10-29,1,23,2,0,0,Not Purchased,Male,29,Howrah,INR 6 Lacs - 8 Lacs,B.Tech,Business/Self Employed,Self,Never Married,5.04
2023-10-29,0,128,33,0,1,Not Purchased,Male,41,Kolkata,Upto INR 2 Lacs,Secondary School,Salaried - Private,Self,Divorced,5.04
2023-10-29,1,1,0,0,1,Not Purchased,Male,55,Gomati,Upto INR 2 Lacs,Secondary School,Business/Self Employed,Self,Widow / Widower,5.07
2023-10-29,0,0,0,0,3,Not Purchased,Male,64,Kolkata,INR 2 Lacs - 4 Lacs,B.Com,Business/Self Employed,Self,Widow / Widower,5.08
2023-10-29,0,68,1,0,1,Not Purchased,Male,31,Jhalda,INR 2 Lacs - 4 Lacs,B.A,Salaried - Government/PSU,Relative,Never Married,5.0
2023-10-29,0,6,0,0,0,Not Purchased,Male,28,Madhyamgram,INR 8 Lacs - 10 Lacs,M.Sc,Salaried - Private,Self,Never Married,5.09
2023-10-29,1,11,2,0,0,Not Purchased,Male,33,Guwahati,INR 4 Lacs - 6 Lacs,B.Tech,Salaried - Government/PSU,Self,Never Married,5.07
2023-10-29,0,152,33,0,1,Not Purchased,Female,20,Bangalpur,Not Working,B.Sc (Hons.),Student,Self,Never Married,4.09
2023-10-29,1,0,0,0,0,Not Purchased,Female,25,Bankura,Upto INR 2 Lacs,B.Sc.Nursing,Salaried - Government/PSU,Parent,Never Married,5.05
2023-10-29,0,0,0,0,1,Not Purchased,Male,24,Barpeta Road,INR 4 Lacs - 6 Lacs,B.A,Business/Self Employed,Self,Never Married,5.08
2023-10-29,0,208,13,0,6,Not Purchased,Male,33,South 24 Parganas,INR 20 Lacs - 30 Lacs,B.Com (Hons.),Salaried - Private,Parent,Never Married,5.08
2023-10-29,0,16,0,0,0,Not Purchased,Male,47,Kolkata,INR 2 Lacs - 4 Lacs,B.A,Salaried - Private,Self,Awaiting Divorce,5.02
2023-10-29,1,45,0,0,1,Not Purchased,Male,34,Kolkata,Upto INR 2 Lacs,High School,Salaried - Private,Self,Never Married,5.05
2023-10-29,1,13,0,0,2,Not Purchased,Male,26,Bardhaman (Burdwan),Upto INR 2 Lacs,High School,Business/Self Employed,Self,Never Married,5.06
2023-10-29,0,19,3,0,1,Not Purchased,Male,22,Baruipur,Upto INR 2 Lacs,B.A,Salaried - Private,Self,Never Married,5.04
2023-10-29,1,1,0,0,0,Not Purchased,Male,33,Kamrup,INR 2 Lacs - 4 Lacs,Higher Secondary School,Civil Services/Defense,Self,Never Married,5.02
2023-10-29,0,40,1,0,2,Not Purchased,Female,23,Madhupur,INR 2 Lacs - 4 Lacs,M.A,Salaried - Private,Parent,Never Married,5.05
2023-10-29,1,4,0,0,2,Not Purchased,Male,33,South 24 Parganas,Upto INR 2 Lacs,Higher Secondary School,Salaried - Private,Self,Never Married,5.06
2023-10-29,1,6,0,0,8,Not Purchased,Male,42,North 24 Parganas,INR 2 Lacs - 4 Lacs,B.A,Salaried - Private,Self,Never Married,6.01
2023-10-29,1,0,0,0,3,Not Purchased,Male,22,Lucknow,Upto INR 2 Lacs,Secondary School,Salaried - Private,Parent,Never Married,5.04
2023-10-29,0,0,0,0,0,Not Purchased,Female,28,Kolkata,INR 8 Lacs - 10 Lacs,MBA,Salaried - Private,Parent,Never Married,5.05
2023-10-29,0,835,179,0,1,Not Purchased,Male,34,Kolkata,INR 4 Lacs - 6 Lacs,B.Com,Salaried - Private,Parent,Divorced,5.09
2023-10-29,2,198,33,0,1,Not Purchased,Male,31,Kolkata,INR 6 Lacs - 8 Lacs,B.Tech,Salaried - Private,Self,Never Married,5.09
2023-10-29,1,2,0,0,0,Not Purchased,Male,25,Paschim Medinipur,INR 4 Lacs - 6 Lacs,Secondary School,Business/Self Employed,Self,Never Married,4.11
2023-10-29,1,15,1,0,0,Not Purchased,Female,30,Kolkata,INR 4 Lacs - 6 Lacs,B.A,Salaried - Government/PSU,Sibling,Never Married,5.07
2023-10-29,0,22,0,0,0,Not Purchased,Male,28,Malda,INR 8 Lacs - 10 Lacs,B.Tech,Salaried - Private,Self,Never Married,5.08
2023-10-29,0,4,0,0,0,Not Purchased,Male,22,Cooch Behar,Upto INR 2 Lacs,Diploma,Salaried - Private,Self,Never Married,5.02
2023-10-29,1,0,0,0,0,Not Purchased,Male,42,Narit,INR 2 Lacs - 4 Lacs,Higher Secondary School,Business/Self Employed,Self,Never Married,4.04
2023-10-29,0,33,11,0,2,Not Purchased,Female,30,Asansol,INR 2 Lacs - 4 Lacs,Diploma,Salaried - Private,Parent,Never Married,5.04
2023-10-29,0,10,0,0,2,Not Purchased,Male,28,Rajpur Sonarpur,INR 2 Lacs - 4 Lacs,Higher Secondary School,Salaried - Private,Self,Never Married,5.09
2023-10-29,0,0,0,0,1,Not Purchased,Male,21,Contai,INR 2 Lacs - 4 Lacs,High School,Business/Self Employed,Self,Never Married,5.05
2023-10-29,0,4,0,0,3,Not Purchased,Male,38,Howrah,Upto INR 2 Lacs,Higher Secondary School,Salaried - Private,Self,Never Married,5.06
2023-10-29,0,42,0,0,2,Not Purchased,Male,31,Chandannagar,INR 8 Lacs - 10 Lacs,B.Com (Hons.),Salaried - Government/PSU,Parent,Never Married,5.06
2023-10-29,0,1,0,0,1,Not Purchased,Female,36,Hooghly,INR 2 Lacs - 4 Lacs,Secondary School,Salaried - Private,Self,Divorced,4.0
2023-10-29,0,46,0,0,2,Not Purchased,Male,29,Berhampore,INR 12 Lacs - 15 Lacs,B.Tech,Salaried - Private,Self,Never Married,5.05
2023-10-29,0,0,0,0,1,Not Purchased,Male,40,Dhubri,Upto INR 2 Lacs,High School,Business/Self Employed,Self,Divorced,5.07
2023-10-29,1,0,0,0,0,Not Purchased,Female,26,Mumbai,INR 18 Lacs - 20 Lacs,M.A,Salaried - Private,Parent,Never Married,5.04
2023-10-29,1,0,0,0,5,Not Purchased,Male,30,Jamshedpur,INR 2 Lacs - 4 Lacs,B.Com,Salaried - Private,Parent,Never Married,6.0
2023-10-29,1,10,0,0,0,Not Purchased,Male,33,Agartala,INR 2 Lacs - 4 Lacs,Higher Secondary School,Salaried - Private,Relative,Never Married,5.11
2023-10-29,1,23,4,0,0,Not Purchased,Male,31,Birbhum,INR 4 Lacs - 6 Lacs,M.Sc,Salaried - Government/PSU,Friend,Never Married,5.06
2023-10-29,1,0,0,0,1,Not Purchased,Female,32,Kolkata,INR 2 Lacs - 4 Lacs,B.Sc,Salaried - Government/PSU,Parent,Never Married,5.03
2023-10-29,1,140,14,0,1,Not Purchased,Male,41,Murshidabad,INR 2 Lacs - 4 Lacs,B.A (Hons.),Salaried - Government/PSU,Self,Awaiting Divorce,5.05
2023-10-29,0,3,0,0,0,Not Purchased,Female,24,Bargachia,Not Working,B.A,Not working,Parent,Never Married,5.04
2023-10-29,0,95,3,0,5,Not Purchased,Male,27,Bally,INR 2 Lacs - 4 Lacs,MBA,Salaried - Private,Self,Never Married,5.06
2023-10-29,0,356,0,0,2,Not Purchased,Male,44,Hooghly,INR 4 Lacs - 6 Lacs,Secondary School,Business/Self Employed,Self,Never Married,5.07
2023-10-29,0,110,12,0,3,Not Purchased,Female,43,Kolkata,INR 20 Lacs - 30 Lacs,B.A (Hons.),Business/Self Employed,Self,Divorced,4.11
2023-10-29,1,9,3,0,0,Not Purchased,Male,35,Kamrup,INR 8 Lacs - 10 Lacs,B.A,Salaried - Private,Self,Never Married,6.0
2023-10-29,1,89,0,0,6,Not Purchased,Male,33,New Delhi,INR 6 Lacs - 8 Lacs,MCA,Salaried - Private,Parent,Never Married,5.04
2023-10-29,1,20,17,0,3,Not Purchased,Male,28,Hugli-Chinsurah,INR 4 Lacs - 6 Lacs,B.A (Hons.),Salaried - Private,Self,Never Married,5.08
2023-10-29,0,227,72,0,0,Not Purchased,Male,34,Berhampore,INR 6 Lacs - 8 Lacs,MCA,Salaried - Private,Self,Never Married,5.08
2023-10-29,0,15,2,0,2,Not Purchased,Male,29,Howrah,Upto INR 2 Lacs,Higher Secondary School,Professional,Self,Never Married,5.08
2023-10-29,1,0,0,0,1,Not Purchased,Male,37,South 24 Parganas,INR 2 Lacs - 4 Lacs,M.Sc,Salaried - Private,Self,Never Married,5.08
2023-10-29,0,98,0,0,4,Not Purchased,Male,30,Budge Budge,INR 8 Lacs - 10 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.1
2023-10-29,0,13,0,0,1,Not Purchased,Male,31,Nabadwip,INR 6 Lacs - 8 Lacs,B.A,Salaried - Government/PSU,Self,Never Married,5.04
2023-10-29,0,12,0,0,1,Not Purchased,Male,31,Adra,INR 6 Lacs - 8 Lacs,MBA,Salaried - Private,Self,Divorced,5.11
2023-10-29,1,15,6,0,1,Not Purchased,Male,22,Hooghly,Upto INR 2 Lacs,Diploma,Salaried - Private,Self,Never Married,5.11
2023-10-30,1,0,0,0,1,Not Purchased,Male,25,Goalpara,Above 1 Crore,Higher Secondary School,Business/Self Employed,Self,Divorced,5.05
2023-10-30,0,3,0,0,3,Not Purchased,Male,41,Jamshedpur,INR 6 Lacs - 8 Lacs,B.A,Salaried - Private,Self,Never Married,5.06
2023-10-30,0,8,0,0,3,Not Purchased,Female,28,Jalpaiguri,Upto INR 2 Lacs,M.A,Professional,Self,Never Married,5.0
2023-10-30,0,41,0,0,0,Not Purchased,Male,32,Malda,INR 6 Lacs - 8 Lacs,B.A (Hons.),Salaried - Government/PSU,Self,Never Married,5.06
2023-10-30,1,2,0,0,1,Not Purchased,Female,40,Kolkata,Upto INR 2 Lacs,B.A (Hons.),Salaried - Private,Relative,Never Married,4.04
2023-10-30,1,4,0,0,1,Not Purchased,Male,25,Arambag,Upto INR 2 Lacs,Secondary School,Business/Self Employed,Parent,Never Married,5.04
2023-10-30,1,10,0,0,0,Not Purchased,Male,29,Rajpur Sonarpur,INR 2 Lacs - 4 Lacs,B.A,Salaried - Private,Parent,Never Married,5.05
2023-10-30,1,0,0,0,1,Not Purchased,Female,30,Raipur,Upto INR 2 Lacs,B.A,Salaried - Private,Sibling,Never Married,5.03
2023-10-30,0,9,2,0,4,Not Purchased,Male,28,Hojai,INR 2 Lacs - 4 Lacs,B.Com,Salaried - Private,Self,Never Married,5.05
2023-10-30,1,0,0,0,0,Not Purchased,Male,50,Dhubri,INR 4 Lacs - 6 Lacs,B.A (Hons.),Business/Self Employed,Self,Widow / Widower,5.06
2023-10-30,1,0,0,0,0,Not Purchased,Female,24,Thane,Not Working,M.Sc,Student,Parent,Never Married,5.05
2023-10-30,0,18,0,0,0,Not Purchased,Female,32,Berhampore,Not Working,B.A,Homemaker,Parent,Never Married,5.03
2023-10-30,0,20,3,0,2,Not Purchased,Male,31,Barpeta,INR 4 Lacs - 6 Lacs,B.A,Civil Services/Defense,Self,Never Married,5.06
2023-10-30,0,15,1,0,1,Not Purchased,Male,31,Kolkata,Upto INR 2 Lacs,B.A,Salaried - Government/PSU,Self,Never Married,5.02
2023-10-30,0,0,0,0,2,Not Purchased,Male,26,Ganjam,INR 12 Lacs - 15 Lacs,B.Sc (Hons.),Salaried - Private,Self,Never Married,5.1
2023-10-30,1,0,0,0,1,Not Purchased,Male,31,Agartala,Upto INR 2 Lacs,BCA,Salaried - Private,Relative,Never Married,5.06
2023-10-30,1,2,1,0,1,Not Purchased,Male,27,Goalpara,INR 6 Lacs - 8 Lacs,B.A,Business/Self Employed,Self,Never Married,5.07
2023-10-30,1,7,1,0,0,Not Purchased,Male,36,Kolkata,Upto INR 2 Lacs,B.A,Salaried - Private,Self,Divorced,5.09
2023-10-30,1,1,0,0,2,Not Purchased,Male,28,Narit,INR 2 Lacs - 4 Lacs,B.A,Salaried - Private,Self,Never Married,5.0
2023-10-30,1,3,0,0,0,Not Purchased,Male,38,Sonitpur,Upto INR 2 Lacs,B.A,Business/Self Employed,Self,Never Married,6.02
2023-10-30,0,15,0,0,4,Not Purchased,Female,35,Bardhaman (Burdwan),INR 15 Lacs - 18 Lacs,BE,Salaried - Private,Parent,Never Married,5.02
2023-10-30,1,1,0,0,2,Not Purchased,Male,21,Paschim Medinipur,Not Working,Diploma,Student,Self,Divorced,5.05
2023-10-30,1,188,143,0,1,Not Purchased,Male,29,Khidirpur,INR 10 Lacs - 12 Lacs,MBA,Salaried - Private,Self,Never Married,5.09
2023-10-30,1,112,10,0,0,Not Purchased,Male,35,Kolkata,INR 30 Lacs - 40 Lacs,LLM,Professional,Relative,Divorced,5.07
2023-10-30,1,0,0,0,2,Not Purchased,Male,26,Guriahati,Upto INR 2 Lacs,Secondary School,Business/Self Employed,Self,Never Married,6.0
2023-10-30,1,3,0,0,4,Not Purchased,Male,29,Berhampore,INR 2 Lacs - 4 Lacs,Secondary School,Business/Self Employed,Self,Never Married,5.05
2023-10-30,0,154,0,0,1,Not Purchased,Male,23,Nadia,INR 6 Lacs - 8 Lacs,B.Tech,Business/Self Employed,Parent,Never Married,5.08
2023-10-30,0,160,0,0,2,Not Purchased,Male,43,Chandannagar,INR 4 Lacs - 6 Lacs,B.Com,Business/Self Employed,Self,Never Married,5.1
2023-10-30,1,0,0,0,1,Not Purchased,Male,32,Panskura,INR 2 Lacs - 4 Lacs,High School,Business/Self Employed,Self,Never Married,5.03
